person_id,state_abbr,state_name,region,puma,sex,age,race_ethnicity,hispanic_origin,education,occupation,industry,marital_status,household_relationship,presence_of_children,family_size,gave_birth_past_year,person_weight
2024HU0180250_2,MO,Missouri,Midwest,02600,Male,33,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,CON-Construction Laborers,CON-Construction (The Cleaning Of Buildings And Dwellings Is Incidental During Construction And Immediately After Construction),Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),5,N/A (less than 15 years/greater than 50 years/ male),65
2024HU0664149_3,WA,Washington,West,20503,Female,23,Hispanic or Latino (any race),Panamanian,Bachelor's degree,EDU-Secondary School Teachers,EDU-Elementary And Secondary Schools,Never married or under 15 years old,Biological son or daughter,Females with no own children,4,No,161
2024HU0780563_3,NY,New York,Northeast,04401,Male,23,Hispanic or Latino (any race),Mexican,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Never married or under 15 years old,Brother or sister,N/A (male/female under 16 years old/GQ),5,N/A (less than 15 years/greater than 50 years/ male),85
2024HU0564496_3,AZ,Arizona,West,01901,Female,18,White alone,Not Spanish/Hispanic/Latino,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Never married or under 15 years old,Biological son or daughter,Females with no own children,4,No,920
2024HU0608423_1,AZ,Arizona,West,00127,Male,62,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,SAL-First-Line Supervisors Of Retail Sales Workers,"RET-Warehouse Clubs, Supercenters, And Other General Merchandise Retailers",Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),62
2024HU0610615_1,IL,Illinois,Midwest,03168,Female,36,Black or African American alone,Not Spanish/Hispanic/Latino,Regular high school diploma,TRN-Driver/Sales Workers And Truck Drivers,TRN-Couriers And Messengers,Never married or under 15 years old,Reference person,Females with own children under 6 years and 6 to 17 years,4,No,793
2024HU0338691_1,MO,Missouri,Midwest,01905,Male,28,Two or more races,Not Spanish/Hispanic/Latino,Professional degree beyond a bachelor's degree,"LGL-Lawyers, And Judges, Magistrates, And Other Judicial Workers",PRF-Legal Services,Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),260
2024HU0793334_3,OH,Ohio,Midwest,00401,Female,20,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,EAT-Fast Food And Counter Workers,"ENT-Food Services And Drinking Places, Except Alcoholic Beverages",Never married or under 15 years old,Biological son or daughter,Females with no own children,3,No,50
2024HU0766244_1,PA,Pennsylvania,Northeast,03115,Male,71,White alone,Not Spanish/Hispanic/Latino,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),99
2024HU1154255_2,ND,North Dakota,Midwest,00500,Female,35,Hispanic or Latino (any race),Mexican,Grade 9,OFF-Customer Service Representatives,PRF-Computer Systems Design And Related Services,Married,Opposite-sex husband/wife/spouse,Females with own children under 6 years and 6 to 17 years,5,No,165
2024HU0683669_2,TX,Texas,South,06301,Female,59,Hispanic or Latino (any race),Mexican,No schooling completed,EAT-Cooks,"ENT-Food Services And Drinking Places, Except Alcoholic Beverages",Married,Opposite-sex husband/wife/spouse,Females with no own children,5,N/A (less than 15 years/greater than 50 years/ male),143
2024HU0709621_1,IL,Illinois,Midwest,03108,Male,76,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),518
2024HU0744635_2,TX,Texas,South,05000,Male,74,Hispanic or Latino (any race),All Other Spanish/Hispanic/Latino,"1 or more years of college credit, no degree",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Divorced,Opposite-sex unmarried partner,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),31
2024HU0750605_2,SC,South Carolina,South,01600,Female,72,White alone,Not Spanish/Hispanic/Latino,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Divorced,Father or mother,Females with no own children,2,N/A (less than 15 years/greater than 50 years/ male),145
2024GQ0118602_1,KY,Kentucky,South,02200,Female,19,White alone,Not Spanish/Hispanic/Latino,"1 or more years of college credit, no degree",SAL-Cashiers,RET-Clothing And Clothing Accessories Retailers,Never married or under 15 years old,Noninstitutionalized group quarters population,N/A (male/female under 16 years old/GQ),1,No,38
2024GQ0029025_1,CA,California,West,06525,Male,85,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Widowed,Institutionalized group quarters population,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),54
2024HU0229812_1,IL,Illinois,Midwest,17900,Male,46,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,PRT-Police Officers,"ADM-Justice, Public Order, And Safety Activities",Married,Reference person,N/A (male/female under 16 years old/GQ),6,N/A (less than 15 years/greater than 50 years/ male),93
2024HU0653865_1,FL,Florida,South,07101,Male,80,White alone,Not Spanish/Hispanic/Latino,Doctorate degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Never married or under 15 years old,Reference person,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),32
2024HU0915932_2,MN,Minnesota,Midwest,01501,Female,28,White alone,Not Spanish/Hispanic/Latino,Associate's degree,EAT-Fast Food And Counter Workers,"ENT-Food Services And Drinking Places, Except Alcoholic Beverages",Never married or under 15 years old,Opposite-sex unmarried partner,Females with no own children,3,Yes,97
2024HU1275596_1,MN,Minnesota,Midwest,01607,Female,54,White alone,Not Spanish/Hispanic/Latino,Bachelor's degree,EDU-Preschool And Kindergarten Teachers,SCA-Child Care Services,Married,Reference person,Females with no own children,2,N/A (less than 15 years/greater than 50 years/ male),185
2024HU1162514_2,WA,Washington,West,25303,Male,49,White alone,Not Spanish/Hispanic/Latino,Regular high school diploma,"RPR-Other Installation, Maintenance, And Repair Workers","WHL-Machinery, Equipment, And Supplies Merchant Wholesalers",Married,Opposite-sex husband/wife/spouse,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),179
2024HU0298920_1,WV,West Virginia,South,00400,Female,53,White alone,Not Spanish/Hispanic/Latino,Master's degree,"CMS-Social Workers, All Other","EDU-Junior Colleges, Colleges, Universities, And Professional Schools",Divorced,Reference person,Females with own children 6 to 17 years only,2,N/A (less than 15 years/greater than 50 years/ male),157
2024HU0537216_2,FL,Florida,South,03302,Male,79,Black or African American alone,Not Spanish/Hispanic/Latino,"Some college, but less than 1 year",N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Divorced,Roommate or housemate,N/A (male/female under 16 years old/GQ),1,N/A (less than 15 years/greater than 50 years/ male),69
2024HU0739423_2,OH,Ohio,Midwest,00705,Female,19,White alone,Not Spanish/Hispanic/Latino,"Some college, but less than 1 year",EAT-Fast Food And Counter Workers,MFG-Retail Bakeries,Never married or under 15 years old,Opposite-sex unmarried partner,Females with no own children,1,No,512
2024HU1257075_1,MI,Michigan,Midwest,02904,Male,62,White alone,Not Spanish/Hispanic/Latino,Master's degree,MGR-Chief Executives And Legislators,MED-Outpatient Care Centers,Married,Reference person,N/A (male/female under 16 years old/GQ),2,N/A (less than 15 years/greater than 50 years/ male),75
2024HU0957580_1,SD,South Dakota,Midwest,00601,Female,56,White alone,Not Spanish/Hispanic/Latino,Master's degree,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Reference person,Females with no own children,3,N/A (less than 15 years/greater than 50 years/ male),87
2024HU0710471_2,NY,New York,Northeast,04412,Female,39,Hispanic or Latino (any race),Guatemalan,Grade 2,N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),N/A (less than 16 years old/NILF who last worked more than 5 years ago or never worked),Married,Opposite-sex husband/wife/spouse,Females with own children 6 to 17 years only,6,No,292
2024HU1402950_2,WA,Washington,West,20501,Female,20,Hispanic or Latino (any race),Mexican,Regular high school diploma,SAL-Retail Salespersons,"RET-Warehouse Clubs, Supercenters, And Other General Merchandise Retailers",Never married or under 15 years old,Biological son or daughter,Females with no own children,3,No,223
